mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin
21.1,4,134.0,95.0,2515.0,14.8,78,3
25.0,4,116.0,81.0,2220.0,16.9,76,2
25.1,4,140.0,88.0,2720.0,15.4,78,1
29.0,4,90.0,70.0,1937.0,14.0,75,2
19.9,8,260.0,110.0,3365.0,15.5,78,1
15.0,8,429.0,198.0,4341.0,10.0,70,1
22.0,4,140.0,72.0,2408.0,19.0,71,1
13.0,8,350.0,175.0,4100.0,13.0,73,1
22.0,6,146.0,97.0,2815.0,14.5,77,3
18.0,3,70.0,90.0,2124.0,13.5,73,3
17.6,6,225.0,85.0,3465.0,16.6,81,1
28.0,4,98.0,80.0,2164.0,15.0,72,1
15.0,8,350.0,145.0,4082.0,13.0,73,1
16.0,8,304.0,150.0,3433.0,12.0,70,1
27.0,4,97.0,88.0,2130.0,14.5,70,3
18.6,6,225.0,110.0,3620.0,18.7,78,1
25.0,4,140.0,92.0,2572.0,14.9,76,1
18.0,6,171.0,97.0,2984.0,14.5,75,1
15.0,8,318.0,150.0,4135.0,13.5,72,1
39.0,4,86.0,64.0,1875.0,16.4,81,1
15.5,8,400.0,190.0,4325.0,12.2,77,1
29.8,4,89.0,62.0,1845.0,15.3,80,2
25.0,6,181.0,110.0,2945.0,16.4,82,1
21.5,6,231.0,115.0,3245.0,15.4,79,1
17.0,8,260.0,110.0,4060.0,19.0,77,1
16.0,6,250.0,100.0,3781.0,17.0,74,1
22.3,4,140.0,88.0,2890.0,17.3,79,1
30.7,6,145.0,76.0,3160.0,19.6,81,2
30.0,4,97.0,67.0,1985.0,16.4,77,3
31.0,4,112.0,85.0,2575.0,16.2,82,1
19.2,6,231.0,105.0,3535.0,19.2,78,1
16.5,6,168.0,120.0,3820.0,16.7,76,2
18.0,4,121.0,112.0,2933.0,14.5,72,2
13.0,8,360.0,170.0,4654.0,13.0,73,1
27.5,4,134.0,95.0,2560.0,14.2,78,3
18.0,6,199.0,97.0,2774.0,15.5,70,1
11.0,8,429.0,208.0,4633.0,11.0,72,1
17.0,6,231.0,110.0,3907.0,21.0,75,1
14.0,8,440.0,215.0,4312.0,8.5,70,1
26.0,4,97.0,46.0,1835.0,20.5,70,2
34.2,4,105.0,70.0,2200.0,13.2,79,1
34.4,4,98.0,65.0,2045.0,16.2,81,1
35.1,4,81.0,60.0,1760.0,16.1,81,3
20.0,4,114.0,91.0,2582.0,14.0,73,2
22.0,4,121.0,98.0,2945.0,14.5,75,2
18.2,8,318.0,135.0,3830.0,15.2,79,1
32.0,4,91.0,67.0,1965.0,15.7,82,3
31.9,4,89.0,71.0,1925.0,14.0,79,2
21.0,4,122.0,86.0,2226.0,16.5,72,1
22.0,4,122.0,86.0,2395.0,16.0,72,1
37.2,4,86.0,65.0,2019.0,16.4,80,3
32.9,4,119.0,100.0,2615.0,14.8,81,3
19.4,8,318.0,140.0,3735.0,13.2,78,1
15.0,6,250.0,72.0,3158.0,19.5,75,1
22.0,4,108.0,94.0,2379.0,16.5,73,3
21.0,6,200.0,85.0,2587.0,16.0,70,1
37.0,4,119.0,92.0,2434.0,15.0,80,3
21.0,6,199.0,90.0,2648.0,15.0,70,1
15.0,6,250.0,100.0,3336.0,17.0,74,1
31.0,4,91.0,68.0,1970.0,17.6,82,3
23.0,4,115.0,95.0,2694.0,15.0,75,2
24.5,4,151.0,88.0,2740.0,16.0,77,1
29.0,4,85.0,52.0,2035.0,22.2,76,1
30.5,4,97.0,78.0,2190.0,14.1,77,2
15.0,6,250.0,72.0,3432.0,21.0,75,1
34.7,4,105.0,63.0,2215.0,14.9,81,1
27.0,4,112.0,88.0,2640.0,18.6,82,1
28.0,4,107.0,86.0,2464.0,15.5,76,2
19.0,4,121.0,112.0,2868.0,15.5,73,2
41.5,4,98.0,76.0,2144.0,14.7,80,2
17.5,8,305.0,145.0,3880.0,12.5,77,1
29.0,4,98.0,83.0,2219.0,16.5,74,2
26.0,4,108.0,93.0,2391.0,15.5,74,3
31.8,4,85.0,65.0,2020.0,19.2,79,3
18.0,6,232.0,100.0,3288.0,15.5,71,1
16.5,8,351.0,138.0,3955.0,13.2,79,1
13.0,8,350.0,145.0,4055.0,12.0,76,1
19.0,6,225.0,100.0,3630.0,17.7,77,1
30.0,4,146.0,67.0,3250.0,21.8,80,2
20.0,4,140.0,90.0,2408.0,19.5,72,1
19.0,4,122.0,85.0,2310.0,18.5,73,1
27.0,4,151.0,90.0,2735.0,18.0,82,1
23.0,4,140.0,78.0,2592.0,18.5,75,1
14.0,8,454.0,220.0,4354.0,9.0,70,1
20.6,6,225.0,110.0,3360.0,16.6,79,1
27.9,4,156.0,105.0,2800.0,14.4,80,1
15.0,8,383.0,170.0,3563.0,10.0,70,1
32.0,4,85.0,70.0,1990.0,17.0,76,3
12.0,8,400.0,167.0,4906.0,12.5,73,1
23.0,4,120.0,97.0,2506.0,14.5,72,3
33.5,4,85.0,70.0,1945.0,16.8,77,3
25.5,4,140.0,89.0,2755.0,15.8,77,1
40.8,4,85.0,65.0,2110.0,19.2,80,3
16.5,8,350.0,180.0,4380.0,12.1,76,1
32.3,4,97.0,67.0,2065.0,17.8,81,3
44.3,4,90.0,48.0,2085.0,21.7,80,2
12.0,8,429.0,198.0,4952.0,11.5,73,1
32.8,4,78.0,52.0,1985.0,19.4,78,3
24.0,4,120.0,97.0,2489.0,15.0,74,3
18.1,8,302.0,139.0,3205.0,11.2,78,1
14.0,8,318.0,150.0,4237.0,14.5,73,1
13.0,8,400.0,190.0,4422.0,12.5,72,1
11.0,8,350.0,180.0,3664.0,11.0,73,1
18.0,6,225.0,105.0,3121.0,16.5,73,1
32.0,4,83.0,61.0,2003.0,19.0,74,3
27.2,4,141.0,71.0,3190.0,24.8,79,2
16.0,6,250.0,100.0,3278.0,18.0,73,1
17.5,6,250.0,110.0,3520.0,16.4,77,1
12.0,8,350.0,160.0,4456.0,13.5,72,1
26.0,4,121.0,113.0,2234.0,12.5,70,2
14.0,8,350.0,165.0,4209.0,12.0,71,1
28.0,4,90.0,75.0,2125.0,14.5,74,1
20.0,6,156.0,122.0,2807.0,13.5,73,3
13.0,8,350.0,155.0,4502.0,13.5,72,1
27.2,4,135.0,84.0,2490.0,15.7,81,1
29.0,4,135.0,84.0,2525.0,16.0,82,1
19.1,6,225.0,90.0,3381.0,18.7,80,1
28.0,4,151.0,90.0,2678.0,16.5,80,1
27.0,4,151.0,90.0,2950.0,17.3,82,1
19.0,6,232.0,100.0,2901.0,16.0,74,1
26.0,4,116.0,75.0,2246.0,14.0,74,2
15.5,8,350.0,170.0,4165.0,11.4,77,1
13.0,8,350.0,145.0,3988.0,13.0,73,1
38.0,6,262.0,85.0,3015.0,17.0,82,1
18.0,6,250.0,78.0,3574.0,21.0,76,1
23.7,3,70.0,100.0,2420.0,12.5,80,3
24.5,4,98.0,60.0,2164.0,22.1,76,1
34.0,4,112.0,88.0,2395.0,18.0,82,1
23.0,8,350.0,125.0,3900.0,17.4,79,1
26.0,4,98.0,79.0,2255.0,17.7,76,1
33.0,4,91.0,53.0,1795.0,17.4,76,3
29.5,4,98.0,68.0,2135.0,16.6,78,3
15.0,8,302.0,130.0,4295.0,14.9,77,1
24.0,4,140.0,92.0,2865.0,16.4,82,1
32.0,4,71.0,65.0,1836.0,21.0,74,3
14.0,8,400.0,175.0,4464.0,11.5,71,1
